"Taxon"	"NCBI_taxid"	"Synonyms"	"Taxonomic.level"	"Ecology"	"Diet_varies_by_lifestage"	"Other information"	"References"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Poduromorpha;f__Neanuridae"	36138		"Family"	"Carnivores"	"No"	"Species within this family occupy high trophic positions, which was interpreted as feeding on nematodes or other microfauna "	"Potapov, A.M., Beaulieu, F., Birkhofer, K., Bluhm, S.L., Degtyarev, M.I., Devetter, M., Goncharov, A.A., Gongalsky, K.B., Klarner, B., Korobushkin, D.I., Liebke, D.F., Maraun, M., Mc Donnell, R.J., Pollierer, M.M., Schaefer, I., Shrubovych, J., Semenyuk, I.I., Sendra, A., Tuma, J., Tůmová, M., Vassilieva, A.B., Chen, T.-W., Geisen, S., Schmidt, O., Tiunov, A.V., Scheu, S., 2022. Feeding habits and multifunctional classification of soil-associated consumers from protists to vertebrates. Biological Reviews 97(3), 1057-1117. https://doi.org/10.1111/brv.12832"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Isotomurus"	36142		"Genus"	"Microbivores"	"No"	"Algivores"	"Rusek, J., 1998. Biodiversity of Collembola and their functional role in the ecosystem. Biodiversity and Conservation 7(9), 1207–1219. https://doi.org/10.1023/a:1008887817883"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cixiidae"	36152	"Cixidae"	"Family"	"Herbivores"	"No"		"https://bugguide.net/node/view/9957"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__Megaselia"	36165		"Genus"	"NA"	"NA"	"Different feeding habits within the genus"	
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__Megaselia;s__Megaselia scalaris"	36166	"Phora scalaris"	"Species"	"Omnivores"	"No"	"Larvae and adults are omnivores"	"Chen, R., Huval, F., Reagan, T.E., Carlton, C., 2022. Megaselia scalaris, Scuttle Fly (Diptera: Phoridae). BUG BIZ, pest management and insect identification series, LSU AgCenter. Available at: https://www.lsuagcenter.com/~/media/system/1/e/3/f/1e3fe4d44d75da57e962f042ddad3334/p3850_bugbizscuttlefly_1122pdf.pdf"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Blattodea;f__Rhinotermitidae"	36985		"Family"	"Detritivores"	"No"		"Yoshimura, T., Imamura, Y., Tsunoda, K., Takahashi, M., 1995. Biodegradation of wood fragments in the digestive tube of Coptotermes formosanus Shiraki (Isoptera: Rhinotermitidae). Holzforschung, 49(5), 385-388."
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Steinernematidae;g__Steinernema;s__Steinernema glaseri"	37863	"Neoaplectana glaseri"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Fulgoridae"	38096		"Family"	"Herbivores"	"No"		"https://sites.udel.edu/planthoppers/north-america/north-american-fulgoridae/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Gelastocoridae"	38102		"Family"	"Carnivores"	"No"		"Hadicke, C.W., Redei, D., Kment, P., 2017. The diversity of feeding habits recorded for water boatmen (Heteroptera: Corixoidea) world-wide with implications for evaluating information on the diet of aquatic insects. European Journal of Entomology 114, 147–159. https://doi.org/10.14411/eje.2017.020"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Symphypleona;f__Sminthuridae"	39131		"Family"	"Microbivores"	"No"	"Feed on decaying plant matter, fungal spores, and single celled algae"	"https://www.waterbugkey.vcsu.edu/php/familydetail.php?idnum=4&f=Sminthuridae&ls=larvae"
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Lecithoepitheliata;f__Prorhynchidae;g__Prorhynchus"	39219		"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Catenulida"	39236		"NA"	"NA"	"NA"	"Different feeding habits within the class"	
"k__Metazoa;p__Platyhelminthes;c__Catenulida;o__;f__Stenostomidae"	39237		"NA"	"NA"	"NA"		" "
"k__Metazoa;p__Platyhelminthes;c__Catenulida;o__;f__Catenulidae"	39239		"Family"	"Omnivores"	"No"		"Larsson, K., 2008. Taxonomy and phylogeny of Catenulida (Platyhelminthes) with emphasis on the Swedish Fauna. Acta Universitatis Upsaliensis, PhD Thesis, 48 pp. https://uu.diva-portal.org/smash/get/diva2:171454/FULLTEXT01.pdf"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Symphypleona;f__Sminthuridae;g__Allacma;s__Allacma fusca"	39272		"Species"	"Microbivores"	"No"	"Feeds on algae"	"Fanciulli, P.P., Carapelli, A., Belloni, M., Dallai, R., Frati, F., 2009. Allozyme variation in the springtails Allacma fusca and A. gallica (Collembola, Sminthuridae). Pedobiologia 52(5), 309–324. https://doi.org/10.1016/j.pedobi.2008.11.004"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__Mayetiola;s__Mayetiola destructor"	39758	"Cecidomyia destructor"	"Species"	"Herbivores"	"No"		"Tooker, J.F., De Moraes, C.M., 2010. Feeding by Hessian Fly (Mayetiola destructor [Say]) Larvae on Wheat Increases Levels of Fatty Acids and Indole-3-Acetic Acid but not Hormones Involved in Plant-Defense Signaling. Journal of Plant Growth Regulation 30(2), 158–165. https://doi.org/10.1007/s00344-010-9177-5"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Proctotrupidae"	40310	"Serphidae"	"Family"	"Carnivores"	"No"	"Parasitoid"	"Marchiori, C., Malheiros, K., Santana, M., 2024. Biology, ecology, and taxonomy of the parasitoids of the families of Austroniidae, Peradeniidae, Proctorenyxidae, Roproniidae, and Vanhorniidae (Hymenoptera: Proctotrupoidea). Open Access Research Journal of Life Sciences 7(2), 9–16. https://doi.org/10.53022/oarjls.2024.7.2.0062"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Tipula"	41043		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Pterostichus"	41078		"Genus"	"Carnivores"	"No"		"Brandl, R., Topp, W., 1985. Size structure of  Pterostichus spp. (Carabidae): aspects of competition. Oikos, 234–238."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Chrysolina "	41125		"Genus"	"Herbivores"	"No"		"Petitpierre, E., Mikhailov, Y., 2009. Chromosomal Evolution And Trophic Affiliation In The Genus Chrysolina (Coleoptera: Chrysomelidae). Research on Chrysomelidae 2, 225–234. https://doi.org/10.1163/ej.9789004169470.1-299.91"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Xantholinus"	41150		"Genus"	"Carnivores"	"No"		"Anlaş, S., 2019. Notes on the genus Xantholinus Dejean, 1821 (Coleoptera, Staphylinidae, Staphylininae, Xantholinini) from the western Palearctic Region. Turkish Journal of Entomology 43(2), 211–225. https://doi.org/10.16970/entoted.516235"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Phyllobius"	41160		"Genus"	"Herbivores"	"No"		"Gosik, R., Sprick, P., 2020. Description of the mature larvae of eight Phyllobius Germar, 1824 species with notes about life cycles, host plant use and vertical distribution (Curculionidae: Entiminae: Phyllobiini). Weevil News 89, 1–39."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Otiorhynchus"	41162		"Genus"	"Herbivores"	"No"		"Lachowska, D., Rożek, M., Holecová, M., 2008. Cytotaxonomy and karyology of the tribe Otiorhynchini (Coleoptera: Curculionidae). European Journal of Entomology 105(2), 175. https://doi.org/10.14411/eje.2008.026"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Notiophilus"	41307		"Genus"	"Carnivores"	"No"	"Hunt mainly collembola and mites"	"Thiele, H.-U., 2012. Carabid beetles in their environments: A study on habitat selection by adaptations in physiology and behaviour, Springer-Verlag, Berlin, Heidelberg. https://doi.org/10.1007/978-3-642-81154-8"
"k__Metazoa;p__Gastrotricha;c__;o__Chaetonotida"	41320		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Diplopoda;o__Julida;f__Julidae"	41449		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Cychrus"	42030		"Genus"	"Carnivores"	"No"	"Specializes in hunting snails"	"Thiele, H.-U., 2012. Carabid beetles in their environments: A study on habitat selection by adaptations in physiology and behaviour, Springer-Verlag, Berlin, Heidelberg. https://doi.org/10.1007/978-3-642-81154-8"
"k__Metazoa;p__Tardigrada"	42241		"NA"	"NA"	"NA"	"Different feeding habits within the phylum"	
"k__Metazoa;p__Tardigrada;c__Eutardigrada;o__Parachela;f__Macrobiotidae;g__Macrobiotus"	42244		"Genus"	"Omnivores"	"No"		"Collins, M., Goudie, I., 2020. The tardigrade and associated micrometazoa of the textured lungwort lichen, Lobaria scrobiculata, in eastern Newfoundland, Canada. Journal of Agriculture & Life Sciences 7. https://doi.org/10.30845/jals.v7n2p2."
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Meloidogynidae;g__Meloidogyne;s__Meloidogyne artiellia"	42426		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Oscheius"	42476	"Dolichorhabditis;Heterorhabditidoides"	"Genus"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__Rhopalosiphum;s__Rhopalosiphum maidis"	43146		"Species"	"Herbivores"	"No"		"Moraes, J.C., Goussain, M.M., Carvalho, G.A., Costa, R.R., 2005. Feeding non-preference of the corn leaf aphid Rhopalosiphum maidis (Fitch, 1856) (Hemiptera: Aphididae) to corn plants (Zea mays L.) treated with silicon. Ciência e Agrotecnologia 29(4), 761–766. https://doi.org/10.1590/s1413-70542005000400007"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ceraphronidae"	44358		"Family"	"Carnivores"	"No"		"Marsh, P.M., 1994. Hymenoptera of the World: An Identification Guide to Families. American Entomologist 40(2), 115–116. https://doi.org/10.1093/ae/40.2.115"
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Bdelloidea"	44578	"Bdelloida;Digononta"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__Sitobion;s__Sitobion avenae"	44664	"Sitobion (Sitobion) avenae;Sitobion (Sitobium) avenae;Sitobium avenae"	"Species"	"Herbivores"	"No"		"Hu, X., Zhao, H., Hu, Z., Li, D., Zhang, Y., 2008. EPG Comparison of Sitobion avenae (Fab.) Feeding Behavior on Three Wheat Varieties. Agricultural Sciences in China 7(2), 180–186. https://doi.org/10.1016/s1671-2927(08)60037-1"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae"	45053		"NA"	"NA"	"NA"	"Different feeding habits within the family"	
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Taeniothrips;s__Taeniothrips inconsequens"	45055		"Species"	"Herbivores"	"No"		"Teulon, D.A.J., Groninger, J.W., Cameron, E.A., 1994. Distribution and Host Plant Associations of Taeniothrips inconsequens (Thysanoptera: Thripidae). Environmental Entomology 23(3), 587–611. https://doi.org/10.1093/ee/23.3.587"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Pratylenchus"	45927		"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Pratylenchus;s__Pratylenchus penetrans"	45929	"Tylenchus penetrans"	"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Pratylenchus;s__Pratylenchus vulnus"	45931		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Pratylenchus;s__Pratylenchus crenatus"	45934		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Pratylenchus;s__Pratylenchus thornei"	45935		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Pratylenchus;s__Pratylenchus scribneri"	45936		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Longidoridae;g__Xiphinema"	46002		"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Longidoridae;g__Xiphinema;s__Xiphinema index"	46003		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Nephrotoma;s__Nephrotoma altissima"	46211		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__Culicoides;s__Culicoides variipennis"	46212	"Ceratopogon variipennis"	"Species"	"Omnivores"	"Yes"	"Larvae are detritivores, females are ematophagous"	"Hopken, M.W., Ryan, B.M., Huyvaert, K.P., Piaggio, A.J., 2017. Picky eaters are rare: DNA-based blood meal analysis of Culicoides (Diptera: Ceratopogonidae) species from the United States. Parasites & Vectors 10(1). https://doi.org/10.1186/s13071-017-2099-3. / Tabachnick, W.J., 1996. Culicoides variipennis and Bluetongue Virus Epidemiology in the United States. Annual Review of Entomology 41(1), 23–43. https://doi.org/10.1146/annurev.ento.41.1.23"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Ablabesmyia;s__Ablabesmyia rhamphe"	46217		"Species"	"Omnivores"	"Yes"	"Larvae are predators, adults feeds on sugary substances"	"Roback, S.S., Bereza, D.J., Vidrine, M.F., 1979. Description of an Ablabesmyia [Diptera: Chironomidae: Tanypodinae] symbiont of unionid fresh-water mussels [Mollusca: Bivalvia: Unionacea], with notes on its biology and zoogeography. Transactions of the American Entomological Society 105(4), 577-i. http://www.jstor.org/stable/25078249. / Burtt, E.T., Perry, R.J.O., McLachlan, A.J., 1986. Feeding and sexual dimorphism in adult midges (Diptera: Chironomidae). Ecography 9(1), 27–32. https://doi.org/10.1111/j.1600-0587.1986.tb01188.x."
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Orchesellidae;g__Orchesella;s__Orchesella cincta"	48709	"Podura cincta"	"Species"	"Microbivores"	"No"	"Phycophagy, mycophagy"	"Verhoef, H.A., Prast, J.E., Verweij, R.A., 1988. Relative Importance of Fungi and Algae in the Diet and Nitrogen Nutrition of Orchesella cincta (L.) and Tomocerus minor (Lubbock) (Collembola). Functional Ecology 2(2), 195. https://doi.org/10.2307/2389695"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Orchesellidae;g__Orchesella;s__Orchesella flavescens"	48711	"Heterotoma flavescens"	"Species"	"Omnivores"	"No"		"Malcicka, M., Berg, M. P., Ellers, J., 2017. Ecomorphological adaptations in Collembola in relation to feeding strategies and microhabitat. European Journal of Soil Biology 78, 82–91. https://doi.org/10.1016/j.ejsobi.2016.12.004"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Poduromorpha;f__Onychiuridae;g__Tetrodontophora;s__Tetrodontophora bielanensis"	48717	"Achorutes bielanensis"	"Species"	"Detritivores"	"No"	"Feeds on detrital materials originating from all trophic levels of the food web, i.e. plant and animal tissues, bacteria, algae and fungi"	"Mitov, P.G., 2018. The Giant Springtail Tetrodontophora bielanensis (Waga, 1842) (Hexapoda: Collembola) – New to the Fauna of Bulgaria. Acta Zoologica Bulgarica 70(3), 309-314."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Laelapidae"	48831	"Laelaptidae"	"Family"	"Carnivores"	"No"		"Amin, M.R., Khanjani, M., Zahiri, B., 2014. Preimaginal development and fecundity of Gaeolaelaps aculeifer (Acari: Laelapidae) feeding on Rhizoglyphus echinopus (Acari: Acaridae) at constant temperatures. Journal of Crop Protection 3(5), 581–587."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Laelapidae;g__Cosmolaelaps"	48832		"Genus"	"Carnivores"	"No"		"Sierra-Monroy, J.A., Muñoz-Cárdenas, K., Joharchi, O., Rueda-Ramírez, D., 2022. A New Predacious Species of Cosmolaelaps (Mesostigmata: Laelapidae) from Rose Greenhouses in The Netherlands with Extensive Morphological Analyses and Ontogeny. Taxonomy 2(4), 471–487. https://doi.org/10.3390/taxonomy2040030"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Megisthanidae;g__Megisthanus;s__Megisthanus floridanus"	48838		"Species"	"Carnivores"	"No"	"Adults eat Collembola, Collembola eggs, carabid beetles, house fly, mealworms"	"Butler, L., Hunter, P.E., 1968. Redescription of Megisthanus floridanus with Observations on Its Biology (Acarina: Megisthanidae). The Florida Entomologist 51(3), 187. https://doi.org/10.2307/3493553"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae;g__Lepidocyrtus"	49178		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Calosoma"	49408	"Calodrepa"	"Genus"	"Carnivores"	"No"	"Feed mainly on butterfy caterpillars "	"Thiele, H.-U., 2012. Carabid beetles in their environments: A study on habitat selection by adaptations in physiology and behaviour, Springer-Verlag, Berlin, Heidelberg. https://doi.org/10.1007/978-3-642-81154-8"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Tenuipalpidae"	50007		"Family"	"Herbivores"	"No"	"Plant parasites "	"Walter, D.E., Latonas, S., 2011. Almanac of Alberta Acari Part II, The Royal Alberta Museum, Edmonton (AB). / Pontier, K. J., de Moraes, G. J., Kreiter, S., 2000. Biology of Tenuipalpus heveae (Acari, Tenuipalpidae) on rubber tree leaves. Acarologia 41(4), 423-427."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Tetranychidae;g__Bryobia"	50010		"Genus"	"Herbivores"	"No"		"Umina, P., Hangartner, S., McDonald, G., 2015. Bryobia mite. PestNotes, Cesar Australia. Available at: https://cesaraustralia.com/pestnotes/mites/bryobia-mite/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Diabrotica;s__Diabrotica virgifera"	50389		"Species"	"Herbivores"	"No"		"Robert, C.A.M., Erb, M., Duployer, M., Zwahlen, C., Doyen, G.R., Turlings, T.C.J., 2012. Herbivore‐induced plant volatiles mediate host selection by a root herbivore. New Phytologist 194(4), 1061–1069. https://doi.org/10.1111/j.1469-8137.2012.04127.x"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Poduromorpha;f__Poduridae"	50587		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Mecoptera;f__Panorpidae;g__Panorpa;s__Panorpa germanica"	50603		"Species"	"Detritivores"	"No"		"Sivell, D., Mitchell, R., Crowley, L.M., 2024. The genome sequence of the German scorpionfly, Panorpa germanica Linnaeus, 1758. Wellcome Open Research 9, 285. https://doi.org/10.12688/wellcomeopenres.22259.1"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Embioptera"	50657	"Embiidina"	"Order"	"NA"	"NA"	"Different feeding habits within the order "	
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Asilidae"	50673		"Family"	"Carnivores"	"No"		"Finn, E.M., 2004. Robber Flies, Asilidae (Insecta: Diptera: Asilidae). EDIS, Gainesville, FL. Available at: https://doi.org/10.32473/edis-in557-2003 (Accessed 7 Apr. 2025)."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Pseudoscorpiones"	51799	"Pseudoscorpionida"	"Order"	"Carnivores"	"No"		"Levi, H.W., 1948. Notes on the Life History of the Pseudoscorpion Chelifer cancroides (Linn.) (Chelonethida). Transactions of the American Microscopical Society 67(3), 290-298. https://doi.org/10.2307/3223197"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Steganacaridae;g__Steganacarus;s__Steganacarus magnus"	52000	"Steganacarus anomalus"	"Species"	"Detritivores"	"No"		"Webb, N.R., Elmes, G.W., 1972. Energy Budget for Adult Steganacarus Magnus (Acari). Oikos 23(3), 359. https://doi.org/10.2307/3543175"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Steinernematidae;g__Steinernema;s__Steinernema feltiae"	52066	"Neoaplectana feltiae"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Tricladida;f__Geoplanidae"	52317		"Family"	"Carnivores"	"No"		"Cuevas-Caballé, C., Riutort, M., Álvarez-Presas, M., 2019. Diet assessment of two land planarian species using high-throughput sequencing data. Scientific Reports 9(1), 8679. https://doi.org/10.1038/s41598-019-44952-3"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Trichoceridae"	52747		"Family"	"Detritivores"	"No"		"Smith, K.G.V., 1989. An introduction to the immature stages of British flies. Handbooks for the identification of British insects 10(14), 1-280."
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Cruznema"	53473	"Epimenides"	"Genus"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Mesorhabditis"	53475	"Lesjan;Operculorhabditis;Uniovaria"	"Genus"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__Cordyla"	53858		"Genus"	"Fungivores"	"No"	"Larvae feed on fungi"	"Kurina, O., 2001. On the identification of Palaearctic species in the genus Cordyla Meigen (Diptera, Mycetophilidae); preliminary results. Norwegian Journal of Entomology 48, 231-235."
